City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
Necochea,-38.55,-58.74,72.0,57,0,7.0,AR,1602624276
Ketchikan,55.34,-131.65,50.0,66,1,14.99,US,1602624276
Port Hardy,50.7,-127.42,53.6,81,75,9.17,CA,1602624277
Pangnirtung,66.15,-65.71,28.4,79,20,3.51,CA,1602624277
Rawson,-43.3,-65.1,75.99,26,65,27.49,AR,1602624277
Teahupoo,-17.83,-149.27,84.2,66,20,19.46,PF,1602624278
Deputatsky,69.3,139.9,11.68,96,90,1.88,RU,1602624278
Chui,-33.7,-53.46,59.65,83,20,6.22,UY,1602624278
Fukagawa,43.71,142.04,44.51,73,47,6.2,JP,1602624278
Tilichiki,60.47,166.1,34.18,89,100,4.92,RU,1602624279
Skorodnoye,51.07,37.23,57.2,76,76,11.18,RU,1602624279
Ashland,40.82,-82.27,62.78,36,1,9.17,US,1602624243
Smithers,54.78,-127.17,41.0,93,75,3.36,CA,1602624279
Jüterbog,51.98,13.08,48.61,83,100,3.0,DE,1602624279
Desaguadero,-16.57,-69.04,54.23,48,77,19.24,PE,1602624280
Alofi,-19.06,-169.92,77.0,57,40,14.99,NU,1602624280
Torbay,47.67,-52.73,44.98,70,20,8.05,CA,1602624280
Clyde River,70.47,-68.59,26.6,92,75,13.87,CA,1602624083
Hamilton,39.18,-84.53,68.04,30,1,5.82,US,1602624280
Castro,-24.79,-50.01,72.21,55,92,3.56,BR,1602624281
Farafangana,-22.82,47.83,73.08,92,65,4.05,MG,1602624281
Nanortalik,60.14,-45.24,38.37,87,100,13.71,GL,1602624281
Bandarbeyla,9.49,50.81,79.03,83,35,9.42,SO,1602624282
Puerto Ayora,-0.74,-90.35,80.6,57,20,17.22,EC,1602624282
Kushmurun,52.45,64.63,48.99,49,100,4.99,KZ,1602624282
Yelizovo,53.19,158.38,48.2,100,90,20.13,RU,1602624282
Mareeba,-17.0,145.43,71.19,83,40,11.41,AU,1602624282
Sur,22.57,59.53,77.13,37,0,9.28,OM,1602624283
Flinders,-34.58,150.86,61.74,80,42,3.0,AU,1602624283
Iqaluit,63.75,-68.51,25.29,79,75,3.36,CA,1602624283
Barpeta,26.32,91.0,76.59,79,1,1.36,IN,1602624010
Vaini,-21.2,-175.2,75.2,69,20,11.41,TO,1602624284
Naze,28.37,129.48,71.6,88,20,4.7,JP,1602624284
Paracatu,-17.22,-46.87,82.94,46,85,2.86,BR,1602624284
Hilo,19.73,-155.09,77.74,65,75,4.7,US,1602623955
Tezu,27.92,96.17,74.39,63,0,3.56,IN,1602624285
Thompson,55.74,-97.86,35.6,80,90,16.11,CA,1602624285
Tasiilaq,65.61,-37.64,39.2,86,100,18.34,GL,1602624285
Coyhaique,-45.58,-72.07,48.2,42,75,12.75,CL,1602624285
Sovetskiy,61.36,63.58,43.27,86,100,7.31,RU,1602624286
Milledgeville,33.08,-83.23,84.7,48,1,7.67,US,1602624089
Ahipara,-35.17,173.17,59.34,72,100,7.4,NZ,1602624286
Avera,33.19,-82.53,85.66,45,1,5.82,US,1602624286
Arrondissement de Tulle,45.33,1.83,45.01,95,59,1.99,FR,1602624286
Coquimbo,-29.95,-71.34,55.4,82,90,8.05,CL,1602624287
Batesville,35.77,-91.64,76.5,33,1,6.17,US,1602623997
Lebu,-37.62,-73.65,54.34,84,0,20.96,CL,1602624287
Hasaki,35.73,140.83,61.57,88,75,5.82,JP,1602624288
Kandrian,-6.22,149.55,79.36,84,100,6.2,PG,1602624288
Khorixas,-20.37,14.97,66.47,34,0,2.62,NA,1602624288
Baisha,26.52,110.93,65.59,87,99,2.86,CN,1602624288
Berlevåg,70.86,29.09,34.27,80,20,11.41,NO,1602624289
Kapaa,22.08,-159.32,84.51,62,40,13.87,US,1602624289
Ribeira Grande,38.52,-28.7,69.8,77,75,20.8,PT,1602624289
Fort-Shevchenko,44.51,50.26,61.11,32,0,20.49,KZ,1602624290
Kurisove,46.97,30.96,68.0,100,75,15.66,UA,1602624027
Seydişehir,37.42,31.85,57.0,71,0,3.31,TR,1602624290
Lambaréné,-0.7,10.24,74.16,92,100,6.08,GA,1602624290
Kavaratti,10.57,72.64,81.16,80,46,19.33,IN,1602624291
Hofn,64.25,-15.21,46.35,80,25,14.47,IS,1602624291
El Salvador,13.83,-88.92,78.46,88,75,9.17,SV,1602624291
Kisangani,0.52,25.2,74.23,81,44,0.98,CD,1602624292
Sechura,-5.56,-80.82,73.71,61,21,14.14,PE,1602624292
Saint Paul Harbor,57.79,-152.41,48.2,76,90,10.29,US,1602624237
Arroyo de la Encomienda,41.61,-4.8,52.45,66,22,12.75,ES,1602624292
Kavieng,-2.57,150.8,81.54,77,100,6.58,PG,1602624187
Kloulklubed,7.04,134.26,75.2,94,75,3.36,PW,1602624293
Panalingaan,8.78,117.42,80.49,73,100,1.23,PH,1602624293
Blackfoot,43.19,-112.34,63.73,35,100,10.0,US,1602624074
Matara,5.95,80.54,78.28,85,80,14.56,LK,1602624294
Bambous Virieux,-20.34,57.76,74.62,78,75,11.41,MU,1602624294
Kawhia,-38.07,174.82,62.01,73,3,15.99,NZ,1602624294
Manbij,36.53,37.95,60.8,59,52,8.9,SY,1602624294
Abéché,13.83,20.83,85.87,33,23,0.98,TD,1602624295
Labuhan,-6.88,112.21,78.4,82,100,7.23,ID,1602624295
Kaitangata,-46.28,169.85,48.99,60,31,17.0,NZ,1602624295
Laas,46.62,10.7,37.6,80,5,4.7,IT,1602624295
Kruisfontein,-34.0,24.73,53.01,80,29,6.82,ZA,1602624295
Batagay-Alyta,67.8,130.41,9.9,93,0,1.5,RU,1602624296
Lazarev,52.23,141.51,37.69,72,0,13.24,RU,1602624296
Norman Wells,65.28,-126.83,23.0,62,90,5.82,CA,1602624296
Isangel,-19.55,169.27,78.8,83,20,4.83,VU,1602624296
Vallenar,-28.57,-70.76,70.21,43,2,8.1,CL,1602624297
Chabahar,25.29,60.64,78.13,23,0,16.71,IR,1602624297
Kenai,60.55,-151.26,46.26,70,40,4.7,US,1602624297
Saskylakh,71.92,114.08,12.16,95,71,6.91,RU,1602624297
Constitución,-35.33,-72.42,63.7,63,9,16.69,CL,1602624207
Vao,-22.67,167.48,73.13,91,0,8.03,NC,1602624298
‘Āhuimanu,21.44,-157.84,84.88,62,40,13.87,US,1602624298
Tataouine,32.93,10.45,66.2,34,0,2.24,TN,1602624298
Kargala,56.62,83.96,37.99,91,23,4.85,RU,1602624298
Ostrovnoy,68.05,39.51,36.23,80,93,6.2,RU,1602624299
Chapais,49.78,-74.85,42.8,100,90,9.17,CA,1602624299
Padang,-0.95,100.35,77.41,74,100,4.29,ID,1602624299
Dikson,73.51,80.55,29.82,93,100,6.73,RU,1602624299
Lubaczów,50.16,23.12,45.64,100,100,12.68,PL,1602624300
Slave Lake,55.28,-114.77,39.2,69,20,6.93,CA,1602624300
Caluquembe,-13.78,14.68,65.25,53,87,1.81,AO,1602624300
Port Elizabeth,-33.92,25.57,53.01,80,17,11.1,ZA,1602624301
Carbonia,39.17,8.52,57.51,93,20,3.36,IT,1602624301
Gilgit,35.92,74.31,60.51,33,22,1.9,PK,1602624301
Nago,26.59,127.98,69.8,88,1,6.93,JP,1602624301
High Rock,26.62,-78.28,84.2,74,20,11.41,BS,1602624302
Teya,60.38,92.63,31.15,97,100,1.74,RU,1602624302
Guerrero Negro,27.98,-114.06,93.87,30,96,13.47,MX,1602624302
Punta Gorda,26.93,-82.05,88.43,46,1,6.93,US,1602624303
Água Branca,-5.89,-42.64,87.91,28,98,1.43,BR,1602624303
Pauini,-7.71,-66.98,94.26,37,57,3.58,BR,1602624303
Mount Isa,-20.73,139.5,73.4,56,0,8.05,AU,1602624303
Asău,46.43,26.4,48.0,82,8,6.46,RO,1602624304
Bonavista,48.65,-53.11,45.0,77,0,4.0,CA,1602624304
Itarema,-2.92,-39.92,79.14,75,41,17.38,BR,1602624105
Tuatapere,-46.13,167.68,48.0,64,65,11.99,NZ,1602624304
Pochutla,15.74,-96.47,90.32,55,75,8.05,MX,1602624304
São Joaquim,-28.29,-49.93,58.87,68,1,2.71,BR,1602624305
Bainbridge Island,47.63,-122.52,61.75,70,76,1.01,US,1602624305
Cap Malheureux,-19.98,57.61,73.99,79,1,5.01,MU,1602624305
Lagoa,39.05,-27.98,69.01,76,87,16.58,PT,1602624306
Mercedes,-34.65,-59.43,76.35,46,0,1.99,AR,1602624178
Sun City West,33.66,-112.34,98.31,8,1,4.7,US,1602624306
Gēdo,9.02,37.45,51.67,94,79,1.41,ET,1602624306
Cran-Gevrier,45.9,6.1,43.45,87,90,2.24,FR,1602624307
Banepā,27.63,85.52,66.2,93,20,2.24,NP,1602624307
Kendari,-3.94,122.5,74.03,91,37,2.64,ID,1602624307
Novosibirsk,55.04,82.93,42.8,81,90,4.47,RU,1602624216
Juneau,58.3,-134.42,46.67,81,75,10.29,US,1602624300
Kirovskiy,45.09,133.51,34.7,86,87,6.02,RU,1602624308
Kununurra,-15.77,128.73,64.4,93,1,6.91,AU,1602624308
Qazvin,36.28,50.0,48.2,49,0,4.7,IR,1602624259
Ilhabela,-23.78,-45.36,73.49,80,8,4.99,BR,1602624308
Taicheng,38.73,113.23,43.59,57,100,4.61,CN,1602624308
Caravelas,-17.71,-39.25,74.62,91,53,9.28,BR,1602624309
Avarua,-21.21,-159.78,75.2,57,8,4.7,CK,1602624109
Ponta do Sol,32.67,-17.1,68.77,73,20,17.22,PT,1602624309
Sitrah,26.15,50.62,82.4,65,0,5.82,BH,1602624309
Moyale,3.52,39.06,72.75,71,80,8.28,KE,1602624309
George Town,5.41,100.34,75.11,94,20,3.36,MY,1602624310
Havre-St-Pierre,50.23,-63.6,44.6,75,1,6.93,CA,1602624310
Virginia Beach,36.85,-75.98,68.59,73,75,11.41,US,1602624149
Montanha,-18.13,-40.36,75.15,80,61,13.0,BR,1602624311
Viedma,-40.81,-63.0,90.0,17,0,11.01,AR,1602624024
Sobolevo,54.43,31.9,52.57,91,41,7.05,RU,1602624311
Oyo,7.85,3.93,73.67,97,100,4.68,NG,1602624311
Talnakh,69.49,88.4,28.4,92,90,31.32,RU,1602624312
Touros,-5.2,-35.46,78.8,74,20,6.93,BR,1602624312
Mar del Plata,-38.0,-57.56,58.8,72,0,13.87,AR,1602624312
Amurzet,47.7,131.1,29.93,89,0,8.66,RU,1602624312
Kangaatsiaq,68.31,-53.46,38.62,85,80,11.95,GL,1602624312
Sarandi,-23.44,-51.87,85.53,41,29,4.83,BR,1602624313
Leningradskiy,69.38,178.42,19.45,86,32,4.65,RU,1602624313
Zhicheng,30.3,111.5,61.34,86,28,4.38,CN,1602624313
Santo Antônio do Tauá,-1.15,-48.13,80.6,83,75,6.93,BR,1602624313
Bondowoso,-7.91,113.82,73.62,72,97,3.0,ID,1602624314
Hokitika,-42.72,170.97,52.05,70,71,13.06,NZ,1602624314
Lubao,14.92,120.55,75.2,78,75,2.24,PH,1602624314
Changchun,43.88,125.32,30.2,58,0,4.47,CN,1602624314
Gao,16.64,1.64,92.82,14,1,3.96,ML,1602624116
Fairbanks,64.84,-147.72,28.17,50,90,4.7,US,1602624094
Mogadishu,2.04,45.34,79.3,84,16,12.62,SO,1602624141
Los Llanos de Aridane,28.66,-17.92,75.2,83,0,9.17,ES,1602624315
La Ligua,-32.45,-71.23,55.4,87,90,8.05,CL,1602624074
San Ignacio,17.16,-89.07,86.04,74,75,4.09,BZ,1602624316
Tura,25.52,90.22,72.63,82,27,3.15,IN,1602624316
Paamiut,61.99,-49.67,37.56,90,96,10.8,GL,1602624316
Soe,-9.86,124.28,65.75,69,2,4.29,ID,1602624316
Te Anau,-45.42,167.72,40.39,83,69,0.72,NZ,1602624316
Warrington,53.39,-2.58,51.06,87,20,12.75,GB,1602624317
Sørland,67.67,12.69,39.2,86,75,6.93,NO,1602624317
Manaure,11.78,-72.44,85.53,74,100,17.76,CO,1602624317
São Filipe,14.9,-24.5,80.89,69,16,6.04,CV,1602624318
Terrace Bay,48.78,-87.1,46.4,100,90,6.93,CA,1602624318
Okato,-39.2,173.88,55.0,76,13,1.99,NZ,1602624318
Ormara,25.21,64.64,79.18,27,0,18.39,PK,1602624318
Husavik,66.04,-17.34,44.6,65,79,13.87,IS,1602624318
Hanoi,21.02,105.84,78.8,61,75,10.29,VN,1602624161
San Cristobal,7.77,-72.22,86.0,48,40,18.34,VE,1602624319
Katherine,-14.47,132.27,75.2,64,4,3.36,AU,1602624319
Maceió,-9.67,-35.74,75.2,83,20,9.17,BR,1602624320
Jutaí,-5.18,-68.9,86.09,56,55,5.95,BR,1602624320
Bay City,43.59,-83.89,64.11,25,20,16.11,US,1602624320
Timmins,48.47,-81.33,57.2,44,40,10.29,CA,1602624320
Camopi,3.17,-52.32,88.79,38,71,5.21,GF,1602624320
Carutapera,-1.2,-46.02,80.37,72,87,7.18,BR,1602624321
Shimoda,34.67,138.95,61.0,88,67,1.99,JP,1602624321
Sagua la Grande,22.81,-80.08,84.2,74,75,8.05,CU,1602624321
Kuldīga,56.97,21.96,44.6,93,75,5.82,LV,1602624321
Nouadhibou,20.93,-17.03,73.4,88,0,8.05,MR,1602624322
Sawākin,19.11,37.33,82.99,61,0,6.51,SD,1602624322
Talara,-4.58,-81.27,66.69,81,83,12.64,PE,1602624322
Tabuk,17.42,121.44,72.54,86,59,2.01,PH,1602624322
Ubari,26.59,12.78,75.94,34,0,8.16,LY,1602624323
Jinotega,13.09,-86.0,75.2,73,75,4.7,NI,1602624323
Kidal,18.44,1.41,91.71,16,7,3.78,ML,1602624323
San Quintín,30.48,-115.95,88.27,26,0,12.68,MX,1602624323
Alice Springs,-23.7,133.88,55.4,47,0,4.7,AU,1602624299
Mlonggo,-6.53,110.7,78.85,79,81,4.54,ID,1602624324
Yara,20.28,-76.95,87.98,68,97,0.92,CU,1602624324
Effium,6.63,8.06,78.8,83,75,3.36,NG,1602624324
Eureka,40.8,-124.16,71.26,70,10,3.0,US,1602624324
Cayenne,4.93,-52.33,84.2,70,76,10.29,GF,1602624324
College,64.86,-147.8,28.69,46,75,9.17,US,1602624325
Manitouwadge,49.12,-85.84,46.4,100,90,6.93,CA,1602624325
Kolokani,13.57,-8.03,82.92,48,15,5.82,ML,1602624325
Amahai,-3.33,128.92,80.01,94,48,3.94,ID,1602624325
Codrington,-38.27,141.97,46.51,95,92,9.17,AU,1602624326
Panabá,21.28,-88.27,84.11,78,73,11.21,MX,1602624326
Muros,42.78,-9.06,50.4,87,75,5.82,ES,1602624326
Bengkulu,-3.8,102.27,75.42,88,95,3.51,ID,1602624326
Rocha,-34.48,-54.33,59.47,83,2,7.0,UY,1602624326
Águas Belas,-9.11,-37.12,76.71,57,45,15.32,BR,1602624327
Kahului,20.89,-156.47,82.78,46,20,19.46,US,1602624305
Kakonko,-3.28,30.96,66.6,74,11,4.85,TZ,1602624327
Turukhansk,65.82,87.98,31.14,99,100,14.7,RU,1602624327
Fethiye,36.62,29.12,75.2,73,75,8.05,TR,1602624179
Beringovskiy,63.05,179.32,32.88,81,0,3.62,RU,1602624328
Okhotsk,59.38,143.3,43.3,70,86,18.84,RU,1602624328
Barcelos,41.54,-8.62,55.11,87,65,9.17,PT,1602624328
Kieta,-6.22,155.63,76.28,84,100,6.67,PG,1602624328
Kitob,39.08,66.83,52.29,43,0,1.86,UZ,1602624329
Souillac,-20.52,57.52,75.2,78,75,11.41,MU,1602624329
Petropavlovsk-Kamchatskiy,53.05,158.65,48.2,100,90,20.13,RU,1602624169
Ola,59.58,151.28,40.23,87,100,33.73,RU,1602624329
Anakapalle,17.68,83.02,78.8,100,75,2.24,IN,1602624329
San Vicente,-26.62,-54.13,82.18,32,1,3.83,AR,1602624330
Seoul,37.57,126.98,51.26,87,90,0.98,KR,1602624110
Gillette,44.29,-105.5,64.02,24,40,18.34,US,1602624330
Ionia,42.99,-85.07,64.87,25,1,16.11,US,1602624214
Wattegama,6.8,81.48,77.0,100,40,6.93,LK,1602624331
Eston,51.15,-108.75,48.07,34,90,13.87,CA,1602624331
Upernavik,72.79,-56.15,24.24,91,42,6.67,GL,1602624263
Mahon,39.89,4.27,59.0,77,1,2.24,ES,1602624331
Cervo,43.67,-7.41,53.46,1,90,10.36,ES,1602624331
Cascais,38.7,-9.42,60.46,77,20,16.11,PT,1602624332
Lasem,-6.69,111.45,78.1,79,98,6.58,ID,1602624332
Ust'-Kulom,61.69,53.69,47.88,92,100,6.73,RU,1602624332
Mayo,38.89,-76.51,66.07,82,40,5.82,US,1602624332
Muisne,0.6,-80.03,82.4,74,20,10.29,EC,1602624333
Escárcega,18.61,-90.75,90.16,54,84,3.13,MX,1602624333
Ust-Nera,64.57,143.2,33.39,91,100,6.4,RU,1602624333
Lüderitz,-26.65,15.16,69.75,41,0,20.09,NA,1602624333
Estelle,29.85,-90.11,84.36,51,40,6.93,US,1602624333
Westport,41.14,-73.36,57.34,93,90,11.41,US,1602624266
Yerbogachën,61.28,108.01,23.97,91,100,8.9,RU,1602624334
Svetlaya,46.54,138.33,44.31,60,52,13.13,RU,1602624334
Saint-Augustin,51.23,-58.65,44.96,66,0,12.86,CA,1602624334
Miastko,54.0,16.98,50.0,84,100,15.01,PL,1602624335
Culpeper,38.5,-77.97,69.73,46,1,6.93,US,1602624335
Kiryat Gat,31.61,34.76,73.81,64,40,3.36,IL,1602624184
Margate,51.38,1.39,51.24,78,100,7.0,GB,1602624264
Sheopur,25.67,76.7,79.18,53,100,5.75,IN,1602624335
Manokwari,-0.87,134.08,79.57,69,10,2.86,ID,1602624336
East London,-33.02,27.91,59.86,67,9,15.95,ZA,1602624336
Baft,29.23,56.61,50.05,30,0,4.68,IR,1602624336
Itupiranga,-5.13,-49.33,84.2,70,51,6.93,BR,1602624336
Mattru,7.62,-11.83,72.07,98,100,2.06,SL,1602624336
Porto-Novo,6.5,2.6,80.6,88,40,11.41,BJ,1602624337
Limbang,4.75,115.0,77.0,94,75,1.12,MY,1602624337
Lianzhou,24.78,112.38,69.01,88,100,3.62,CN,1602624337
Rome,43.21,-75.46,54.86,87,90,9.17,US,1602624125
Ixtapa,20.7,-105.2,88.9,70,75,11.41,MX,1602624105
Pangkalanbuun,-2.68,111.62,75.92,95,94,2.06,ID,1602624338
Gazli,40.13,63.45,52.0,40,0,8.7,UZ,1602624338
Boa Viagem,-5.13,-39.73,85.3,24,32,3.74,BR,1602624186
Norton Shores,43.17,-86.26,63.61,45,75,18.34,US,1602624338
Zhigansk,66.77,123.37,10.56,95,97,10.47,RU,1602624338
Lamesa,32.74,-101.95,88.27,12,75,10.54,US,1602624339
Greytown,-29.06,30.59,52.63,83,100,4.18,ZA,1602624339
Nortelândia,-14.45,-56.8,96.84,28,63,3.18,BR,1602624339
Saint Anthony,45.02,-93.22,60.87,31,20,16.11,US,1602624339
Quatre Cocos,-20.21,57.76,74.57,78,75,11.41,MU,1602624340
Atambua,-9.11,124.89,71.8,72,45,3.94,ID,1602624340
Lamu,-2.27,40.9,77.0,94,1,4.7,KE,1602624340
Abu Dhabi,24.47,54.37,86.0,66,0,4.7,AE,1602624340
Atar,20.52,-13.05,84.43,50,99,8.77,MR,1602624340
Tocopilla,-22.09,-70.2,64.99,51,22,7.61,CL,1602624341
Pesaro,43.9,12.89,53.67,69,35,8.01,IT,1602624341
Aswān,24.09,32.91,86.7,24,0,12.35,EG,1602624341
Longyearbyen,78.22,15.64,35.6,74,75,14.99,SJ,1602624262
Nemuro,43.32,145.57,54.5,75,77,4.52,JP,1602624342
Salinópolis,-0.61,-47.36,81.72,74,18,11.9,BR,1602624342
Alekseyevsk,57.84,108.35,24.33,87,96,4.52,RU,1602624342
Meulaboh,4.14,96.13,75.56,81,100,4.79,ID,1602624342
Uruaçu,-14.52,-49.14,83.59,51,80,4.47,BR,1602624342
Atherton,53.52,-2.49,51.62,78,64,1.01,GB,1602624343
Ulaanbaatar,47.91,106.88,19.4,79,100,2.24,MN,1602624093
Upington,-28.45,21.26,66.2,8,0,3.36,ZA,1602624343
Karachi,24.91,67.08,77.0,20,0,4.7,PK,1602624343
Morón,-34.65,-58.62,73.83,32,0,3.0,AR,1602624090
Morondava,-20.28,44.28,75.7,75,1,8.79,MG,1602624344
Chingirlau,51.09,54.08,49.64,41,0,6.2,KZ,1602624344
Taoudenni,22.68,-3.98,93.31,14,29,6.67,ML,1602624345
Inhambane,-23.86,35.38,68.99,82,2,5.66,MZ,1602624345
Payo,-3.75,103.64,72.88,93,92,1.95,ID,1602624345
